\(t\),\(\left.u\right\vert_{x=0.0}\),\(\left.u\right\vert_{x=0.2}\),\(\left.u\right\vert_{x=0.4}\),\(\left.u\right\vert_{x=0.6}\),\(\left.u\right\vert_{x=0.8}\),\(\left.u\right\vert_{x=1.0}\)
0,0.1,0.09216,0.07056,0.04096,0.01296,0
0.1,0.0961294,0.0887673,0.0686034,0.0414003,0.0166884,0.00631352
0.2,0.0924965,0.0856132,0.0668858,0.0420467,0.0202137,0.0113702
0.3,0.089102,0.0826974,0.0653955,0.0428067,0.0234053,0.0156946
0.4,0.0859458,0.0800165,0.0641056,0.0436037,0.0262778,0.0194717
0.5,0.0830257,0.077562,0.0629844,0.0443934,0.0288631,0.022809
0.6,0.0803364,0.0753215,0.0620033,0.0451519,0.0311924,0.0257791
0.7,0.0778692,0.0732807,0.0611388,0.0458671,0.0332935,0.0284352
0.8,0.0756125,0.0714245,0.0603725,0.0465336,0.0351906,0.0308185
0.9,0.0735534,0.069738,0.0596898,0.0471495,0.0369049,0.0329622
1,0.0716778,0.0682067,0.059079,0.0477157,0.0384548,0.0348938
